4106,1,0,1,1
4114,1,0,1,1
4140,1,0,1,1
4317,1,0,1,1
4336,1,0,1,1
4386,1,0,1,1
4398,2,0,2,2
4399,1,0,1,1
4406,1,0,1,1
4407,1,0,1,1
4408,1,0,1,1
4458,1,0,1,1
4474,7,2,7,9
4486,2,0,2,2
4536,1,0,1,1
4572,4,1,4,5
4622,2,0,2,2
4624,1,0,1,1
4651,1,0,1,1
4772,1,0,1,1
4777,22,19,29,41
4817,8,5,9,13
4837,24,3,25,27
4842,2,10,12,12
4855,1,0,1,1
4943,1,0,1,1
4947,1,0,1,1
4979,3,0,3,3
5002,1,0,1,1
5004,7,0,7,7
5007,4,0,4,4
5009,0,1,1,1
5032,1,1,2,2
5042,3,0,3,3
5043,3,1,3,4
5047,1,0,1,1
5049,3,0,3,3
5052,1,0,1,1
5062,1,0,1,1
5094,1,0,1,1
5162,1,1,1,2
5168,1,0,1,1
5169,3,0,3,3
5170,3,0,3,3
5174,4,0,4,4
5185,3,0,3,3
5310,2,0,2,2
5324,1,0,1,1
5356,1,0,1,1
5357,1,0,1,1
5369,1,0,1,1
5405,1,0,1,1
5406,2,0,2,2
5446,1,0,1,1
5505,1,1,1,2
5512,1,0,1,1
5514,8,0,8,8
5515,7,0,7,7
5516,17,0,17,17
5517,8,0,8,8
5539,1,0,1,1
5586,1,0,1,1
5600,1,0,1,1
5610,1,0,1,1
5614,3,0,3,3
5615,1,0,1,1
5616,1,0,1,1
5617,3,0,3,3
5619,11,1,11,12
5620,5,0,5,5
5621,2,0,2,2
5625,1,0,1,1
5645,1,0,1,1
5649,6,0,6,6
5650,4,0,4,4
5652,1,0,1,1
5654,1,0,1,1
5660,5,0,5,5
5661,1,0,1,1
5662,2,0,2,2
5664,13,0,13,13
5666,21,0,21,21
5667,1,0,1,1
5669,2,0,2,2
5670,5,0,5,5
5671,1,0,1,1
5675,11,0,11,11
5676,2,0,2,2
5680,1,0,1,1
5681,2,0,2,2
5683,2,0,2,2
5684,1,0,1,1
5699,3,0,3,3
5700,1,0,1,1
5701,5,0,5,5
5702,11,0,11,11
5704,10,0,10,10
5706,1,0,1,1
5760,1,0,1,1
5764,1,0,1,1
5774,1,0,1,1
5775,1,0,1,1
5780,1,0,1,1
5799,1,0,1,1
5810,2,0,2,2
5811,1,0,1,1
5820,1,0,1,1
5847,1,0,1,1
5849,1,0,1,1
5854,1,0,1,1
5861,1,0,1,1
5881,1,0,1,1
5894,3,0,3,3
5895,2,0,2,2
5896,1,0,1,1
5897,1,1,1,2
6080,1,0,1,1
6445,14,2,16,16
