6506,1,0,1,1
6511,1,0,1,1
6532,5,0,5,5
6536,43,0,43,43
6542,39,1,39,40
6544,1,0,1,1
6554,48,14,52,62
6561,8,5,8,13
6577,2,0,2,2
6588,1,0,1,1
6593,1,1,2,2
6603,9,0,9,9
6610,1,1,1,2
6628,1,0,1,1
6635,77,48,114,125
6655,52,14,54,66
6657,1,0,1,1
6669,31,1,32,32
6673,1,0,1,1
6674,0,1,1,1
6675,1,1,1,2
6679,6,3,9,9
6687,1,0,1,1
6705,9,0,9,9
6733,27,3,28,30
6759,1,0,1,1
6818,29,15,34,44
6820,1,0,1,1
6851,2,0,2,2
6857,2,0,2,2
6860,1,0,1,1
6861,0,1,1,1
6876,4,1,4,5
6943,1,0,1,1
7170,0,1,1,1
7264,1,0,1,1
7418,1,0,1,1
7434,1,0,1,1
7494,1,0,1,1
7501,1,0,1,1
7584,1,0,1,1
7814,1,0,1,1
7824,1,0,1,1
7836,1,0,1,1
7923,1,0,1,1
8052,1,1,1,2
8064,1,0,1,1
8074,38,13,44,51
8085,1,1,1,2
