1558, 48 
1508, 40 
1496, 48 
1505, 48 
1501, 48 
1503, 48 
1498, 42 
1504, 48 
1499, 49 
1500, 49 
1515, 48 
1518, 42 
1516, 40 
1506, 49 
1520, 44 
1519, 41 
1510, 48 
1513, 46 
1511, 38 
1509, 48 
1550, 37 
1562, 40 
1560, 46 
1557, 38 
1556, 43 
1563, 43 
1546, 49 
1567, 47 
1514, 47 
1551, 43 
1566, 44 
1570, 45 
1565, 45 
1553, 43 
1819, 26 
1547, 44 
1568, 43 
1815, 19 
1561, 35 
1555, 44 
1480, 47 
1552, 41 
1816, 26 
1810, 26 
1548, 42 
1804, 18 
1818, 27 
1805, 29 
1809, 37 
1823, 25 
1814, 18 
1825, 28 
1824, 27 
1813, 21 
1806, 29 
1826, 23 
1821, 21 
2082, 26 
1803, 30 
1811, 22 
2084, 32 
2075, 41 
1820, 21 
1808, 39 
2085, 43 
2079, 36 
2319, 6 
2077, 25 
2072, 25 
2096, 20 
2081, 31 
2092, 34 
2074, 35 
2087, 36 
2095, 19 
2094, 42 
2080, 46 
2086, 34 
2076, 37 
2091, 39 
1485, 48 
1491, 38 
1490, 43 
1484, 49 
1494, 43 
1489, 49 
1479, 45 
2089, 37 
1493, 43 
1476, 41 
2318, 17 
1478, 41 
1486, 49 
1483, 43 
2090, 39 
2029, 18 
2027, 18 
2030, 18 
1475, 42 
1495, 45 
1471, 48 
2025, 17 
2015, 18 
1473, 40 
2035, 23 
2023, 18 
2018, 17 
2019, 17 
1481, 39 
2427, 16 
2014, 18 
2020, 17 
1474, 46 
2017, 18 
2038, 37 
2032, 17 
2037, 35 
2024, 18 
2028, 16 
2346, 18 
2033, 45 
2022, 17 
2034, 20 
2052, 33 
2341, 20 
2045, 17 
2071, 22 
2069, 19 
2040, 19 
2058, 24 
2047, 17 
2053, 26 
2043, 17 
2068, 25 
2039, 27 
2042, 17 
2307, 21 
2057, 28 
2054, 27 
2048, 17 
2055, 18 
2044, 18 
2311, 24 
2308, 29 
2049, 18 
2317, 20 
2070, 20 
2313, 32 
2309, 36 
2312, 19 
2516, 17 
1543, 25 
2050, 19 
2323, 19 
2316, 23 
2541, 18 
2314, 26 
2216, 8 
2391, 16 
2384, 20 
2392, 16 
2387, 17 
2389, 16 
2381, 21 
2398, 17 
2326, 46 
2414, 17 
2412, 17 
2413, 18 
2327, 20 
2320, 25 
2417, 17 
2334, 18 
2411, 17 
2429, 16 
2409, 19 
2407, 18 
2324, 20 
2383, 23 
2419, 17 
2402, 18 
2421, 17 
2396, 19 
2423, 17 
2295, 18 
2322, 27 
2609, 16 
2399, 17 
2511, 22 
2329, 18 
2507, 19 
2397, 17 
2426, 18 
2394, 18 
2403, 18 
2424, 18 
2404, 17 
2408, 18 
1789, 41 
2328, 28 
2393, 18 
2543, 48 
2321, 33 
1592, 39 
2762, 17 
2401, 17 
2221, 16 
2531, 18 
2542, 21 
2382, 17 
2532, 17 
1785, 30 
1578, 49 
2524, 18 
2268, 23 
2534, 17 
2544, 30 
2265, 30 
2539, 17 
1571, 44 
2418, 17 
2575, 50 
2254, 18 
2538, 18 
1593, 42 
2522, 18 
2227, 9 
1595, 42 
2416, 18 
2536, 47 
2259, 29 
1577, 43 
1783, 21 
1588, 44 
2771, 19 
1798, 27 
2252, 18 
2614, 18 
2517, 18 
2267, 18 
2258, 22 
2257, 19 
2239, 20 
1587, 46 
2533, 19 
2262, 27 
2253, 18 
2264, 29 
2260, 27 
1575, 41 
2347, 20 
1591, 46 
2250, 20 
2352, 18 
2422, 18 
1581, 47 
2601, 18 
1793, 37 
2604, 17 
1786, 48 
2537, 18 
2274, 24 
2272, 35 
2338, 27 
2270, 26 
1784, 18 
1788, 36 
1585, 48 
1795, 37 
2269, 24 
2622, 19 
2606, 19 
1800, 18 
1780, 29 
2611, 19 
2255, 18 
2342, 21 
1779, 28 
1801, 25 
2226, 15 
2612, 18 
1778, 37 
1799, 18 
2273, 28 
2263, 30 
2602, 18 
1791, 37 
2603, 16 
2339, 21 
1794, 28 
1572, 37 
1781, 38 
1580, 45 
1582, 45 
2351, 20 
1790, 29 
2618, 19 
2621, 19 
2337, 29 
1590, 40 
1586, 44 
2624, 48 
2343, 33 
2619, 17 
2623, 20 
1796, 25 
2349, 18 
2344, 29 
1597, 46 
2354, 17 
2336, 28 
2348, 19 
1617, 41 
2608, 19 
2331, 49 
1618, 44 
1616, 45 
2613, 46 
2607, 17 
2617, 19 
1614, 47 
1605, 49 
2332, 19 
2616, 50 
2008, 20 
1576, 48 
2353, 19 
2333, 19 
2760, 16 
2275, 32 
2228, 16 
1601, 49 
1603, 46 
1607, 45 
2756, 17 
1611, 47 
2306, 21 
1606, 49 
1598, 49 
2751, 17 
2759, 47 
1612, 44 
2765, 19 
2303, 17 
1609, 37 
2755, 18 
2757, 19 
1600, 49 
2752, 18 
1602, 41 
2754, 18 
1608, 48 
2776, 41 
2763, 17 
1756, 20 
1613, 35 
1771, 14 
2775, 18 
1619, 39 
2770, 46 
1772, 17 
1757, 33 
2768, 18 
2283, 21 
2769, 18 
2764, 18 
2282, 22 
2277, 35 
2772, 19 
2279, 45 
2194, 19 
2189, 18 
2774, 19 
1989, 17 
2000, 18 
1999, 22 
1994, 19 
1993, 20 
1997, 25 
1995, 27 
1992, 19 
1998, 25 
1990, 18 
2287, 31 
1773, 19 
2278, 48 
2284, 27 
2202, 19 
2197, 17 
2292, 23 
2285, 25 
2289, 34 
2293, 31 
2280, 30 
2204, 17 
1755, 41 
2199, 18 
2209, 18 
2220, 18 
2190, 18 
2290, 45 
2205, 19 
2200, 17 
2288, 44 
2208, 19 
2294, 26 
1670, 43 
2010, 22 
1655, 43 
2005, 18 
2004, 26 
2002, 18 
2012, 19 
2009, 28 
2192, 17 
2193, 17 
2198, 18 
2013, 19 
1660, 47 
2003, 23 
1672, 34 
1528, 44 
1654, 39 
1531, 44 
2007, 28 
1665, 41 
2207, 16 
1673, 48 
2203, 18 
1674, 48 
1664, 48 
1652, 44 
2356, 19 
1662, 39 
1658, 38 
2374, 19 
2363, 17 
1539, 41 
1675, 50 
2366, 18 
2359, 17 
2364, 19 
1653, 38 
2231, 18 
1530, 39 
1544, 44 
1668, 44 
1669, 44 
2230, 18 
1538, 41 
1529, 43 
1659, 48 
1524, 41 
2679, 26 
2241, 20 
1545, 43 
2237, 18 
1525, 45 
1523, 43 
1663, 41 
2229, 18 
2248, 18 
2236, 18 
1541, 42 
1521, 41 
2376, 18 
2358, 18 
2372, 19 
2361, 17 
2379, 17 
2362, 19 
2367, 18 
2368, 20 
2357, 18 
2234, 17 
2691, 18 
2244, 18 
